C,Rp,Dif_vol,V_in,V_out,P_ventilador,PIP,Error_aceptable
20,20,-2.7,350,352.7,27.6,25.5,1
20,20,-4.7,350,354.7,30.3,30.2,1
20,20,1.2,350,348.8,32,33,1
20,20,3.1,400,396.9,30.3,29.4,1
20,20,-7,400,407,33.9,34.3,1
20,20,-1.6,400,401.6,35.2,36.9,1
20,20,7.8,450,442.2,38.8,32.3,1
20,20,-5.5,450,455.5,36.4,37.6,1
20,20,-1.2,450,451.2,37.7,40,1
20,20,17.8,500,482.2,35.5,36.1,1
20,20,8,500,492,38.9,41,1
20,20,5.5,500,494.5,40.5,43.4,1
20,20,8.3,550,541.7,41.1,42.2,1
20,20,0.4,550,549.6,43.5,46.3,1
20,20,-8.5,550,558.5,54.1,48.1,1
20,20,2.7,600,597.3,44.5,47.2,1
20,20,1,600,599,47,50.8,1
20,20,-12.5,600,612.5,49.1,53.4,1
10,20,22.2,350,327.8,33.4,37.3,1
10,20,42.5,350,307.5,36.3,41.9,1
10,20,46.8,350,303.2,38.4,45.5,1
10,20,25,400,375,38.2,42.9,1
10,20,39.2,400,360.8,41.6,48.6,1
10,20,41.4,400,358.6,43.3,52,1
10,20,30.4,450,419.6,41.2,48.5,1
10,20,41.2,450,408.8,45.5,54.2,1
10,20,42.5,450,407.5,47.8,57.7,1
10,20,44.8,500,455.2,43.6,53.1,1
10,20,42.7,500,457.3,48.3,60,1
10,20,38.5,500,461.5,51.2,63.6,1
10,20,31.8,550,518.2,51.1,60.9,1
10,20,34.2,550,515.8,55,67.6,1
10,20,25.6,550,524.4,57.8,71.2,1
10,20,26,600,574,56.2,67.6,1
10,20,28.4,600,571.6,59.8,72.9,1
10,50,53.2,350,296.8,33.2,34.1,0
10,50,68.7,350,281.3,37.4,40.9,0
10,50,72.5,350,277.5,39.5,44.6,0
10,50,64.8,400,335.2,37.6,39.7,0
10,50,67.2,400,332.8,42.8,46.4,0
10,50,69.3,400,330.7,45,50.5,0
10,50,68,450,382,43.3,45.8,0
10,50,73,450,377,48,51.9,0
10,50,67,450,383,51.6,56.5,0
10,50,63.6,500,436.4,49.1,53.2,1
10,50,70.4,500,429.6,52.2,58,0
10,50,63.5,500,436.5,55.5,62.8,1
10,50,51.9,550,498.1,59,63.4,1
10,50,53.9,550,496.1,61.3,67.3,1
10,50,50.4,550,499.6,64.5,71.1,1
10,50,48,600,552,66.8,71,1
10,50,51.2,600,548.8,69,74.5,1
20,50,81,350,269,26.9,20.7,0
20,50,47.4,350,302.6,32.3,28.2,1
20,50,47.3,350,302.7,33.9,31.1,1
20,50,97,400,303,29.5,23.3,0
20,50,55.9,400,344.1,35.2,31.3,0
20,50,55.9,400,344.1,37,34.3,0
20,50,105.8,450,344.2,32.6,25.4,0
20,50,60.9,450,389.1,38,32.4,1
20,50,53.4,450,396.6,40.9,37.6,1
20,50,113.5,500,386.5,36.8,30,0
20,50,64.3,500,435.7,44,38.8,1
20,50,47.3,500,452.7,47.4,42.5,1
20,50,62.1,550,487.9,45.9,39.9,1
20,50,40.3,550,509.7,51.1,45.8,1
20,50,23,550,527,54.6,50,1
20,50,55.5,600,544.5,53.7,45.2,1
20,50,40.1,600,559.9,58.4,50.5,1
